Comment,Designator,Footprint,LCSC,Quantity
22uF,"C11,C12,C6,C7",C_0402_1005Metric,C105226,4
1k,"R10,R11,R12,R13,R14,R9",R_0402_1005Metric,C11702,6
0.1uF,"C13,C14,C15,C16,C17,C18,C2,C21,C22,C23,C24,C25,C26,C27,C28,C4,C5,C9",C_0402_1005Metric,C1525,18
10uF/NC,C10,C_0402_1005Metric,C15525,1
30pF,"C19,C20",C_0603_1608Metric,C1658,2
0,"R1,R4,R7",R_0402_1005Metric,C17168,3
BT16A07,T3,BT16A07,C216355,1
QT48A03,T2,QT48A03,C216365,1
~,"D3,D6",LED_0603_1608Metric,C2286,2
~,"D2,D5",LED_0603_1608Metric,C2290,2
4.7uF,C8,C_0402_1005Metric,C23733,1
Input Diode,D7,D_SMA,C2479,1
75,"R21,R22,R23,R24,R25",R_0402_1005Metric,C25133,5
470K,R6,R_0402_1005Metric,C25562,1
6.2k 1%,R8,R_0402_1005Metric,C25915,1
25MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C337588,1
LM1117MP-3.3,U1,SOT-223-3_TabPin2,C498153,1
10uF,"C1,C3",CP_EIA-3216-18_Kemet-A,C7171,2
~,"D1,D4",LED_0603_1608Metric,C72038,2
IP175G,U3,QFN-48-1EP_6x6mm_P0.4mm_EP4.3x4.3mm_ThermalVias,C80220,1
1nF 2KV (1206),"C29,C30,C31,C32,C33",C_1206_3216Metric,C9196,5
PHY 1,J8,Molex_PicoBlade_53047-0410_1x04_P1.25mm_Vertical,,1
PHY 3,J6,Molex_PicoBlade_53047-0410_1x04_P1.25mm_Vertical,,1
MountingHole,H1,MountingHole_3.2mm_M3,,1
PHY 5,J4,Molex_PicoBlade_53047-0410_1x04_P1.25mm_Vertical,,1
MountingHole,H2,MountingHole_3.2mm_M3,,1
LDO IN,J1,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,,1
PHY 2,J7,Molex_PicoBlade_53047-0410_1x04_P1.25mm_Vertical,,1
3.3V IN,J3,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,,1
PHY 4,J5,Molex_PicoBlade_53047-0410_1x04_P1.25mm_Vertical,,1
