Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,CP_EIA-3216-18_Kemet-A,118.9,-107.95,180.0,top
C10,10uF/NC,C_0402_1005Metric,124.587,-108.8644,90.0,top
C11,22uF,C_0402_1005Metric,118.5738,-103.3272,180.0,top
C12,47uF,C_0402_1005Metric,117.2758,-103.3272,180.0,top
C13,0.1uF,C_0402_1005Metric,123.6218,-106.6546,-90.0,top
C14,0.1uF,C_0402_1005Metric,124.7394,-106.8832,-90.0,top
C15,0.1uF,C_0402_1005Metric,129.5628,-105.0,0.0,top
C16,0.1uF,C_0402_1005Metric,120.0886,-99.2886,0.0,top
C17,0.1uF,C_0402_1005Metric,130.85,-100.65,0.0,top
C18,0.1uF,C_0402_1005Metric,129.5,-97.65,0.0,top
C19,30pF,C_0603_1608Metric,122.33,-96.11,90.0,top
C2,0.1uF,C_0402_1005Metric,120.05,-106.35,180.0,top
C20,30pF,C_0603_1608Metric,119.17,-97.92,0.0,top
C21,0.1uF,C_0402_1005Metric,125.45,-95.8,90.0,top
C22,0.1uF,C_0402_1005Metric,125.6284,-109.248,-90.0,top
C23,0.1uF,C_0402_1005Metric,129.2,-96.65,0.0,top
C24,0.1uF,C_0402_1005Metric,117.35,-90.9,-90.0,top
C25,0.1uF,C_0402_1005Metric,135.08,-113.55,180.0,top
C26,0.1uF,C_0402_1005Metric,135.08,-111.43,180.0,top
C27,0.1uF,C_0402_1005Metric,135.08,-112.48,180.0,top
C28,0.1uF,C_0402_1005Metric,135.08,-110.38,180.0,top
C29,1nF 2KV (1206),C_1206_3216Metric,142.58,-113.48,180.0,top
C3,10uF,CP_EIA-3216-18_Kemet-A,114.2,-107.95,0.0,top
C30,1nF 2KV (1206),C_1206_3216Metric,116.65,-87.55,-90.0,top
C31,1nF 2KV (1206),C_1206_3216Metric,142.93,-80.63,180.0,top
C32,1nF 2KV (1206),C_1206_3216Metric,142.9318,-78.1972,180.0,top
C33,1nF 2KV (1206),C_1206_3216Metric,142.58,-111.08,180.0,top
C4,0.1uF,C_0402_1005Metric,113.1,-106.3,0.0,top
C5,0.1uF,C_0402_1005Metric,112.9874,-104.7944,0.0,top
C6,22uF,C_0402_1005Metric,112.99,-103.8038,0.0,top
C7,47uF,C_0402_1005Metric,114.3336,-103.8038,0.0,top
C8,4.7uF,C_0402_1005Metric,123.5964,-108.6384,90.0,top
C9,0.1uF,C_0402_1005Metric,115.8078,-103.4,90.0,top
D1,~,LED_0603_1608Metric,114.6711,-92.8906,180.0,top
D2,~,LED_0603_1608Metric,114.6731,-94.55,180.0,top
D3,~,LED_0603_1608Metric,114.6732,-96.2,180.0,top
D4,~,LED_0603_1608Metric,114.65,-97.85,180.0,top
D5,~,LED_0603_1608Metric,114.65,-99.5,180.0,top
D6,~,LED_0603_1608Metric,114.65,-101.1,180.0,top
D7,Input Diode,D_SMA,122.5,-113.745,-90.0,top
R1,0,R_0402_1005Metric,122.555,-108.6632,-90.0,top
R10,1k,R_0402_1005Metric,112.6,-93.81,90.0,top
R11,1k,R_0402_1005Metric,112.6,-95.7,90.0,top
R12,1k,R_0402_1005Metric,112.6,-97.61,90.0,top
R13,1k,R_0402_1005Metric,112.6,-99.56,90.0,top
R14,1k,R_0402_1005Metric,112.6,-101.5,90.0,top
R21,75,R_0402_1005Metric,146.2846,-80.2546,180.0,top
R22,75,R_0402_1005Metric,146.28,-81.33,180.0,top
R23,75,R_0402_1005Metric,145.94,-110.37,180.0,top
R24,75,R_0402_1005Metric,117.3358,-84.1992,90.0,top
R25,75,R_0402_1005Metric,145.92,-112.78,180.0,top
R4,0,R_0402_1005Metric,114.329,-102.7624,0.0,top
R6,470K,R_0402_1005Metric,118.1588,-99.2886,0.0,top
R7,0,R_0402_1005Metric,119.9368,-100.965,0.0,top
R8,6.2k 1%,R_0402_1005Metric,129.7,-101.85,0.0,top
R9,1k,R_0402_1005Metric,112.6,-91.9,90.0,top
T2,QT48A03,QT48A03,141.9375,-95.88,0.0,top
T3,BT16A07,BT16A07,124.9112,-86.5104,90.0,top
U1,LM1117MP-3.3,SOT-223-3_TabPin2,116.268729,-112.690346,180.0,top
U3,IP175G,QFN-48-1EP_6x6mm_P0.4mm_EP4.3x4.3mm_ThermalVias,124.976199,-101.461063,180.0,top
Y1,25MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,119.4,-95.34,180.0,top
